LATITUDE,LONGITUDE
5.465320, -73.768237
5.465146, -73.767776
5.464869, -73.767406
5.465173, -73.766944
5.465856, -73.764965
5.465947, -73.763485
5.465792, -73.758936
5.465504, -73.755127
5.467883, -73.749002
5.467831, -73.747729
5.466936, -73.743471
5.466578, -73.742778
5.461766, -73.736657
5.461440, -73.735627
5.461819, -73.734645
5.463329, -73.733476
5.464384, -73.734120
5.464929, -73.735278
5.465434, -73.735037
5.465333, -73.734683
5.465578, -73.734254
5.469127, -73.733036
5.469146, -73.732864
5.468692, -73.732151
5.468446, -73.729614
5.467667, -73.726669
5.467128, -73.725832
5.466906, -73.723638
5.467170, -73.721187
5.466984, -73.720382
5.467058, -73.719400
5.467543, -73.718381
5.467513, -73.718241
5.46254, -73.71895
5.44870, -73.72771
5.44278, -73.73887
5.44141, -73.75140
5.45233, -73.75638
5.46130, -73.76874



















